date,petrol_sales,super_petrol_sales,diesel_sales,super_diesel_sales
2025-08-07,2571.86,103.235,3302.105,138.426
2025-08-08,2388.616,141.199,2686.603,137.021
2025-08-09,2855.146,112.753,3223.565,128.321
2025-08-10,2503.656,114.666,2671.735,151.965
2025-08-11,2097.563,80.066,3144.392,95.385
2025-08-12,2375.416,149.572,2975.089,196.075
2025-08-13,2335.533,116.955,3483.334,62.424
2025-08-14,2065.373,108.106,3657.792,132.309
2025-08-15,2224.358,122.818,4190.459,191.047
2025-08-16,2609.007,69.563,3848.733,95.385
2025-08-17,2427.968,120.424,2807.465,81.231
2025-08-18,2387.12,113.634,3429.505,27.693
2025-08-19,2127.868,61.613,2921.868,61.539
2025-08-20,2316.461,35.576,3148.659,145.07
2025-08-21,2381.082,134.909,2668.541,71.078
2025-08-22,2420.62,107.327,3515.254,247.093
2025-08-23,2734.993,51.296,2967.245,78.461
2025-08-24,2465.061,31.965,2608.729,203.701
2025-08-25,2446.439,210.43,2989.898,124.797
2025-08-26,2439.859,80.368,2777.22,61.54
2025-08-27,2365.615,113.454,2641.443,186.161
2025-08-28,2226.119,132.552,3000.789,68.462
2025-08-29,2502.942,91.363,3654.572,127.63
2025-08-30,2778.69,245.829,3634.313,195.371
2025-08-31,1982.205,79.472,2061.914,113.317
,,,,
2025-09-01,2800.761,20.525,3404.757,249.574
2025-09-02,2307.838,0,2912.755,93.937
2025-09-03,2385.745,0,2193.363,140.573
2025-09-04,2052.261,0,3597.281,130.992
2025-09-05,2554.778,0,2877.977,0
2025-09-06,2839.296,0,2826.646,276.945
2025-09-07,2635.483,0,2235.43,332.348
2025-09-08,2184.986,0,2666.802,73.16
2025-09-09,2071.722,0,3019.294,63.898
2025-09-10,2572.411,0,3275.644,92.965
2025-09-11,2434.099,0,3420.916,125.909
2025-09-12,2402.079,0,3275.82,57.507
2025-09-13,2838.186,0,2988.237,103.451
2025-09-14,2357.104,0,2388.427,326.63
2025-09-15,2496.78,0,2985.136,79.882
2025-09-16,2225.679,0,3144.875,216.455
2025-09-17,2252.093,0,2646.331,211.821
2025-09-18,2013.425,64.236,3350.989,158.145
2025-09-19,2491.245,180.066,3948.172,83.281
2025-09-20,2696.595,185.652,3023.008,100.014
2025-09-21,2508.509,47.708,2468.385,122.204
2025-09-22,2405.49,58.682,3547.691,250.272
2025-09-23,2350.552,40.033,3130.355,63.736
2025-09-24,2422.946,110.128,2781.062,142.814
2025-09-25,1980.713,217.302,2791.894,155.593
2025-09-26,2172.569,65.55,2898.253,102.236
2025-09-27,2608.628,211.964,2871.347,156.226
2025-09-28,2655,100.016,3008.4,161.252
2025-09-29,2461.715,26.84,3118.897,75.013
2025-09-30,2199.593,49.854,2957.455,79.878
,,,,
2025-10-01,2628.537,110.819,3995,257.982
2025-10-02,2245.453,90.758,3436.352,77.315
2025-10-03,2279.924,239.413,2628.945,38.345
2025-10-04,2315.691,77.592,2918.744,197.49
2025-10-05,2435.814,119.36,2423.021,113.414
2025-10-06,2481.012,59.111,2024.236,111.821
2025-10-07,2596.733,37.015,3406.662,157.593
2025-10-08,2386.385,159.932,3076.033,172.154
2025-10-09,2140.962,84.394,2708.158,22.364
2025-10-10,2568.899,84.483,3098.481,95.846
2025-10-11,2936.766,166.138,3021.595,154.416
2025-10-12,2727.41,26.27,2679.935,89.456
2025-10-13,2695.344,73.526,3045.879,36.905
2025-10-14,2150.112,38.062,2864.656,135.62
2025-10-15,2269.635,70.746,3311.814,71.235
2025-10-16,2353.378,125.11,3035.398,86.262
2025-10-17,2031.126,11.94,3013.559,129.871
2025-10-18,2740.56,100.429,3050.057,331.043
2025-10-19,2283.261,128.731,1826.061,79.872
2025-10-20,2414.781,165.665,2943.891,36.1
2025-10-21,2214.924,49.254,2746.814,108.882
